Banco/Billetera,Se requiere,Día de la promoción,Descuento,Rubro,Establecimiento,Tope de reintegro,Condiciones
Banco Ciudad,MODO,Lunes,30%,Supermercados,Chango Más,$20.000 + $10.000 y 10% adicional exclusivo Plan Sueldo y Jubilados,"(MDC) MODO-CIUDAD PROMOCIÓN OFRECIDA POR EL BANCO DE LA CIUDAD DE BUENOS AIRES, CUIT 30-99903208-3 (BANCO CIUDAD) LOS DÍAS LUNES DESDE EL 01/01/2025 AL 31/03/2025, EN TODA LA REPÚBLICA ARGENTINA, EN COMPRAS REALIZADAS EN TIENDAS FÍSICAS DE CHANGOMÁS, HIPER CHANGOMÁS, PUNTO MAYORISTA Y COMPRA ONLINE EN MASONLINE COORDINANDO EL ENVÍO Y/O RETIRO PARA LOS DÍAS LUNES Y PAGANDO EN TIENDA O BIEN ABONANDO ONLINE UN DÍA LUNES Y COORDINANDO EL ENVÍO PARA CUALQUIER DÍA, EXCLUSIVAMENTE ABONANDO CON EL QR DE MODO, DESDE BUEPP O LA APP MÓVIL DEL CIUDAD EN TERMINALES DE COBRO (O POSNET) DE LAS MARCAS PRISMA/ PAYWAY O FISERV CON TARJETAS DE CRÉDITO VISA O MASTERCARD DEL BANCO CIUDAD QUEDANDO EXCLUIDA DE LA PROMOCIÓN CUALQUIER OTRA TERMINAL DE PAGO O QR NO PERTENECIENTES A LA MENCIONADA. SE OTORGARÁ UN 20% DE DESCUENTO DURANTE DICHA VIGENCIA EN EL TOTAL DE LA COMPRA CON TOPE DE REINTEGRO DE $20.000 POR CLIENTE Y POR MES. ADEMÁS PARA CLIENTES DEL SEGMENTO PLAN SUELDO Y JUBILADOS CON ACREDITACIÓN REGULAR DE HABERES EN SU CUENTA DE BANCO CIUDAD SE ADICIONARÁ UN 10% DE DESCUENTO EN EL TOTAL DE LA COMPRA CON TOPE DE REINTEGRO DE $10.000 MENSUAL POR CLIENTE. SERÁ REQUISITO EXCLUYENTE, PREVIO A REALIZARSE LA COMPRA, TENER ASOCIADA A MODO LA CUENTA DEL BANCO CIUDAD. PARA COMPRAS REALIZADAS POR TITULARES DE TARJETAS ADICIONALES, EL TARJETAHABIENTE ADICIONAL DEBERÁ POSEER UNA CAJA DE AHORRO DEL BANCO CIUDAD ASOCIADA A MODO. SE CONSIDERARÁ PARA LA SEGMENTACIÓN DE CLIENTES PLAN SUELDO Y JUBILADOS ACREDITACIONES DE HABERES DURANTE LOS ÚLTIMOS 90 DÍAS DE EFECTUADA LA COMPRA. QUEDAN EXCLUIDAS DE LA PROMOCIÓN LAS CUENTAS EN MORA Y/O BLOQUEADAS POR MOTIVOS ADMINISTRATIVOS. LA PRESENTE PROMOCIÓN ES VÁLIDA SOLO PARA CONSUMOS DE TIPO FAMILIAR. EL DESCUENTO PODRÁ VISUALIZARSE VÍA REINTEGRO, A ACREDITAR EN LA CUENTA DEL CLIENTE DENTRO DE LOS 45 DÍAS POSTERIORES A LA FECHA DE REALIZADA LA COMPRA. SI EL CLIENTE TUVIERA MÁS DE UNA CUENTA, EL CRÉDITO SE REALIZARÁ EN CUALQUIERA DE ELLAS A ELECCIÓN DEL BANCO. EN CASO DE DUDA SOBRE EL DESTINO DEL CONSUMO, NO SE ACREDITARÁ EL MONTO DE LA BONIFICACIÓN HASTA TANTO SE ACLARE EL MISMO. NO INCLUYE PRODUCTOS DE CONVENIO DE PRECIOS JUSTOS, ELECTRODOMÉSTICOS Y CARNE VACUNA. LOS DESCUENTOS PUBLICADOS NO SON ACUMULABLES CON OTRAS PROMOCIONES. CONFORME RES. 915 E/2017, 51- E/2017 Y 240 E/2017. T.N.A., T.E.A. Y C.F.T.N.A (IVA INCLUIDO): 0,00% FIJO. T.N.A: TASA NOMINAL ANUAL, T.E.A: TASA EFECTIVA ANUAL, C.F.T.N.A: COSTO FINANCIERO TOTAL EXPRESADO"
Personal Pay,n/a,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",2x1,Cine,Cinemark Hoyts,n/a,en entradas 2D y 3D
Personal Pay,n/a,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",20%,Cine,Cinemark Hoyts,n/a,En combos (pochoclos)
Tarjeta Cencosud,n/a,"Lunes, Martes, Miércoles, Jueves, Sábado, Domingo",2x1,Cine,Cinemark Hoyts,n/a,en entradas 2D
CencoPay,n/a,"Lunes, Martes, Miércoles, Jueves, Sábado, Domingo",2x1,Cine,Cinemark Hoyts,n/a,en entradas 2D y 3D
BBVA,n/a,"Lunes, Martes, Miércoles, Jueves, Sábado, Domingo",2x1,Cine,Cinemark Hoyts,n/a,en entradas
BBVA,n/a,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",20%,Cine,Cinemark Hoyts,n/a,En combos (pochoclos)
American Express,n/a,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",50%,Cine,Cinemark Hoyts,n/a,"en entradas 2D, 3D, XD, PREMIUN y COMFORT"
Club La Nación,n/a,"Lunes, Martes, Miércoles, Jueves",2x1,Cine,Cinemark Hoyts,n/a,en entradas 2D
Personal Pay,n/a,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",2x1,Cine,Cinepolis,n/a,"Pagá con tu tarjeta PERSONAL PAY y aprovechá el 2x1 en entradas para salas tradicionales 2D, 3D y sala Monster Screen.
Promoción válida en boleterías y para compras digitales."
Santander,n/a,"Lunes, Martes, Miércoles, Viernes, Sábado, Domingo",2x1,Cine,Cinepolis,n/a,"Pagá con tu tarjeta SANTANDER y aprovechá el 2x1 en entradas para salas tradicionales 2D, 3D, Gold Class y Monster Screen.
Promoción válida en boleterías y para compras digitales."
Banco Macro,n/a,"Lunes, Martes, Miércoles, Viernes, Sábado, Domingo",2x1,Cine,Cinepolis,n/a,Con tu tarjeta de Banco Macro conseguí un 2x1 en salas 2D y 3D todos los días en Cinépolis Rosario.
Santander,MODO,"Lunes, Martes, Miércoles, Viernes, Sábado, Domingo",2x1,Cine,Cinepolis,n/a,"Pagá con tu tarjeta SANTANDER VISA usando la APP Santander o APP Modo y aprovechá el 2x1 en entradas.
Promoción válida en boleterías y para compras digitales."
Club Movistar,n/a,"Lunes, Martes, Miércoles, Viernes, Sábado, Domingo",2x1,Cine,Cinepolis,n/a,"Siendo socio de Club Movistar accedé a un 2x1 en entradas en salas 2D, 3D y Monster Screen de Lunes a Domingo en todos los complejos de Cinépolis Argentina.
Promoción válida solo para compras digitales."
Club La Nación,n/a,"Lunes, Martes, Miércoles, Viernes, Sábado, Domingo",2x1,Cine,Cinepolis,n/a,"Siendo socio de Club La Nación accedé a un 2x1 en entradas en salas 2D, 3D y Monster Screen de Lunes a Domingo en todos los complejos de Cinépolis Argentina.
Promoción válida solo para compras digitales."
Club Crónica,n/a,"Lunes, Martes, Miércoles, Viernes, Sábado, Domingo",2x1,Cine,Cinepolis,n/a,"Siendo socio de Club Crónica accedé a un 2x1 en entradas en salas 2D y 3D de Lunes a Domingo en todos los complejos de Cinépolis Argentina.
Promoción válida solo para compras digitales."
UBA Economicas,n/a,"Lunes, Martes, Miércoles, Viernes, Sábado, Domingo",2x1,Cine,Cinepolis,n/a,"Accede a un 2x1 en entradas con la Credencial Universitaria de la Facultad de Ciencias Económicas, exclusivo en Cinepólis Plaza Houssay en compras presenciales y en la web.
Promoción válida en boleterías y para compras digitales."
FUBA,n/a,"Lunes, Martes, Miércoles, Viernes, Sábado, Domingo",2x1,Cine,Cinepolis,n/a,"Si sos asociado a la Federación Universitaria de Buenos Aires (FUBA) conseguí un 2x1 en salas 2D y 3D todos los días en Cinépolis Houssay.
Promoción válida en boleterías y para compras digitales."
UALÁ,n/a,Lunes,25%,Supermercados,Coto,"$15.000 tarjeta de crédito, $10.000 prepaga.",pagando con tu tarjeta prepaga y crédito mastercard EXCLUSIVO PARA USUARIOS CON CAJA DE AHORRO A TRAVÉS DE LA APP UALÁ
Club La Nación,n/a,"Lunes, Miércoles",15%,Supermercados,Coto,n/a,n/a
Tarjeta TCI,n/a,Lunes,20%,Supermercados,Coto,Sin tope de reintegro.,en un pago con nuestra tarjeta de crédito tci. Sin tope de reintegro. Aplican exclusiones. Ver legal.
Tarjeta TCI,n/a,"Viernes, Sábado, Domingo",15%,Supermercados,Coto,Sin tope de reintegro.,en un pago con nuestra tarjeta de crédito tci. Sin tope de reintegro. Aplican exclusiones. Ver legal.
Mercado Pago,n/a,"Sábado, Domingo",15%,Supermercados,Coto,Sin tope de reintegro.,utilizando todos los medios de pago dentro de la app. No valido para venta online (Coto Digital).  Aplican exclusiones
Mercado Pago,n/a,Viernes,25%,Supermercados,Coto,Sin tope de reintegro.,utilizando todos los medios de pago dentro de la app. No valido para venta online (Coto Digital).  Aplican exclusiones
Banco Supervielle,MODO,Martes,20%,Supermercados,Coto,$8.000,Por mes por cuenta con tarjetas de crédito y débito.
Banco Supervielle,MODO,Martes,25%,Supermercados,Coto,$15.000,Por mes por cuenta para clientes Identité y plan sueldo con tarjetas de crédito y débito.
Programa Ciudadania Porteña,n/a,"Martes, Jueves",15%,Supermercados,Coto,Sin tope de reintegro.,Aplican exclusiones
Comunidad Coto,n/a,"Martes, Miércoles, Jueves",15%,Supermercados,Coto,Sin tope de reintegro.,Aplican exclusiones
Santander,n/a,Jueves,20%,Supermercados,Coto,$20.000,"EXCLUSIVO JUBILADOS QUE PERCIBAN SUS HABERES EN EL BANCO Tope de reintegro $20.000 mensual.
Aplican exclusiones. Ver legal."
Banco Nación,MODO,Miércoles,30%,Supermercados,Coto,$12.000,Tope de reintegro unificado: $12.000 por día Miércoles por cliente. Aplican exclusiones. Ver legal.
Banco ICBC,n/a,Jueves,20%,Supermercados,Coto,$10.000,con tarjetas DE DÉBITO VISA. Aplican exclusiones
Banco Credicoop,MODO,Lunes,30%,Supermercados,Coto,$15.000,"Por usuario, por semana. abonando con tarjetas de débito y crédito cabal."
Banco Comafi,n/a,Jueves,25%,Supermercados,Coto,$12.000,"Tope de devolución: $10.000 p/ transacción. Clientes Cuenta Comafi Único tope de reintegro $12.000.
Aplican exclusiones. Ver legal."
Banco Columbia,n/a,Jueves,20%,Supermercados,Coto,$8.000,con tarjetas DE DÉBITO VISA. Aplican exclusiones
Banco Columbia,n/a,Jueves,20%,Supermercados,Coto,$18.000,en un pago con tarjetas DE crédito VISA y mastercard. Tope de reintegro: $18.000 mensual. Aplican exclusiones. Ver legal.
Banco Ciudad,n/a,"Sábado, Domingo, Lunes",20%,Supermercados,Coto,Sin tope de reintegro.,en un pago con tarjetas de débito Visa y Maestro
UALÁ,n/a,Viernes,25%,Supermercados,Dia,$10.000,Por mes. Pagando con credito
Prex,n/a,Jueves,20%,Supermercados,Dia,$6.000,Por semana
Personal Pay,n/a,Jueves,20%,Supermercados,Dia,Nivel 1: $6000/ Nivel 2: $8.000 / Nivel 3: $12.000,Por semana
Mercado Pago,n/a,Miércoles,15%,Supermercados,Dia,Sin tope de reintegro.,n/a
Santander,MODO,Sábado,25%,Supermercados,Dia,$20.000,Por mes
Banco Nación,MODO,Miércoles,30%,Supermercados,Dia,$10.000,por cliente y por semana
Banco Entre Rios,MODO,Jueves,30%,Supermercados,Dia,$10.000,por semana por cuenta
Banco Santa Fe,MODO,Martes,30%,Supermercados,Dia,$10.000,Por semana
Banco Columbia,n/a,"Lunes, Viernes",20%,Supermercados,Dia,$7.000,Por transaccion
UALÁ,n/a,Viernes,25%,Supermercados,Dia online,$10.000,Por mes. Pagando con credito
Prex,n/a,Martes,25%,Supermercados,Dia online,$6.000,Por semana
Naranja X,n/a,Martes,20%,Supermercados,Dia online,$8.000,Por cuenta y por semana.
Mercado Pago,n/a,Miércoles,15%,Supermercados,Dia online,Sin tope de reintegro.,n/a
Santander,MODO,Sábado,25%,Supermercados,Dia online,$20.000,Por mes
Banco Santa Fe,MODO,Martes,30%,Supermercados,Dia online,$10.000,Por semana
Banco Nación,MODO,Miércoles,30%,Supermercados,Dia online,$10.000,por cliente y por semana
Banco Galicia Eminent,MODO,Jueves,30%,Supermercados,Dia online,$20.000,"Por mes, Visa crédito y débito"
Banco Galicia,MODO,Jueves,25%,Supermercados,Dia online,$15.000,"Por mes, Visa crédito y débito"
Banco Entre Rios,MODO,Jueves,30%,Supermercados,Dia online,$10.000,por semana por cuenta
Banco del Sol,n/a,Martes,25%,Supermercados,Dia online,$5.000, por semana tarjeta de debito
Banco del Sol,n/a,Martes,25%,Supermercados,Dia,$5.000, por semana tarjeta de debito
Banco Columbia,n/a,"Lunes, Viernes",20%,Supermercados,Dia online,$7.000,Por transaccion
Personal Pay,n/a,"Miércoles, Jueves",25%,Supermercados,Diarco,$3.000 si sos Nivel 1; $7.000 si sos Nivel 2; $12.000 si sos Nivel 3.,"Por transacción, semana y cliente. Con tarjeta física Prepaga Personal Pay"
MODO,MODO,Viernes,25%,Supermercados,Diarco,$10.000,Por banco por mes acumulable con ofertas.
MODO,MODO,Sábado,25%,Supermercados,Diarco,$10.000,Por banco por mes acumulable con ofertas.
Banco Nación,MODO,Miércoles,30%,Supermercados,Diarco,$12.000,Por cliente y por miércoles. Con Tarjetas de Crédito Visa y MasterCard del Banco Nación. A través de la billetera BNA+ MODO.
Banco Macro,MODO,Miércoles,30%,Supermercados,Diarco,$16.000 ,"por cuenta y por mes. Con Tarjetas de Crédito Banco Macro y Banco Macro BMA, exclusivamente con MODO."
Banco Macro,MODO,Miércoles,25%,Supermercados,Diarco,$14.000,"por cuenta y por mes. Platinum. Con Tarjetas de Crédito Banco Macro y Banco Macro BMA, exclusivamente con MODO."
Banco Macro,MODO,Miércoles,20%,Supermercados,Diarco,$8.000,"Por cuenta y por mes. Cartera General con Tarjetas de Crédito Banco Macro y Banco Macro BMA, exclusivamente con MODO."
Banco Hipotecario,MODO,Martes,25%,Supermercados,Diarco,"Clientes Búho One, Búho Sueldo, Búho Jubilados y Búho Emprendedor: $30.000; Cartera General: $10.000 mensual y por cuenta.",n/a
Banco Credicoop,MODO,Jueves,35%,Supermercados,Diarco,$10.500,"Por usuario, por semana. Asalariados. Únicamente con QR de Modo abonando a través de Credicoop Móvil o MODO con tarjetas Cabal Credicoop."
Banco Credicoop,MODO,Jueves,25%,Supermercados,Diarco,$7.500,"Por usuario, por semana. Cartera General. Únicamente con QR de Modo abonando a través de Credicoop Móvil o MODO con tarjetas Cabal Credicoop. "
Banco Comafi,MODO,"Lunes, Martes, Miércoles, Jueves, Sábado, Domingo",20%,Supermercados,Diarco,$10.000,"Por semana. Con tarjetas de débito Visa de Banco Comafi, a través de la app de Modo, pertenecientes a clientes que además sean titulares de servicios de cuenta Comafi Ahorro, Global o Classic, Premium, Platinum, Único."
Banco Coinag,n/a,Jueves,15%,Supermercados,Diarco,$5.000,"Por cuenta y por mes. Con Tarjetas de Crédito Visa emitidas por Banco Coinag SA, en forma presencial mediante terminales LAPOS o POSNET."
Mercado Pago,n/a,Sábado,15%,Supermercados,Diarco,Sin tope de reintegro.,Utililzando todos los medios de pago dentro de la app. Mínimo de compra: $10.000.
Personal Pay,n/a,"Miércoles, Jueves",25%,Supermercados,Diarco Mayorista,$3.000 si sos Nivel 1; $7.000 si sos Nivel 2; $12.000 si sos Nivel 3.,"Por transacción, semana y cliente. Con tarjeta física Prepaga Personal Pay"
MODO,MODO,"Viernes, Sábado",25%,Supermercados,Diarco Mayorista,$10.000,Por banco por mes acumulable con ofertas.
Mercado Pago,n/a,Sábado,15%,Supermercados,Diarco Mayorista,Sin tope de reintegro.,Utililzando todos los medios de pago dentro de la app. Mínimo de compra: $10.000.
Banco Santa Fe,MODO,Miércoles,30%,Supermercados,Diarco Mayorista,$10.000 ,"Por cuenta, por semana. Con Tarjetas de Crédito emitidas por Banco Santa Fe en un pago, utilizando Modo desde la app del banco o app Modo"
Banco Santa Cruz,MODO,Miércoles,30%,Supermercados,Diarco Mayorista,$10.000,"Por cuenta, por semana. Con Tarjetas de Crédito emitidas por Banco Santa Cruz en un pago, utilizando Modo desde la app del banco o app Modo"
Banco Nación,MODO,Miércoles,30%,Supermercados,Diarco Mayorista,$12.000,Por cliente y por miércoles. Con Tarjetas de Crédito Visa y MasterCard del Banco Nación. A través de la billetera BNA+ MODO.
Banco Macro,MODO,Miércoles,30%,Supermercados,Diarco Mayorista,$16.000 ,"por cuenta y por mes. Con Tarjetas de Crédito Banco Macro y Banco Macro BMA, exclusivamente con MODO."
Banco Macro,MODO,Miércoles,25%,Supermercados,Diarco Mayorista,$14.000,"por cuenta y por mes. Platinum. Con Tarjetas de Crédito Banco Macro y Banco Macro BMA, exclusivamente con MODO."
